城市,站点,经度,纬度
宜兴,宜兴市环保局,119.828233,31.357982
宜兴,宜园,119.804369,31.372928
宜宾,宜宾四中,104.615141,28.797109
宜宾,市委,104.626906,28.773675
宜宾,市政府,104.649212,28.75888
宜宾,沙坪中学,104.688958,28.801936
宜宾,石马中学,104.588662,28.790548
宜宾,黄金嘴,104.600105,28.735095
宜昌,伍家岗,111.32689,30.681169
宜昌,四零三,111.316492,30.718486
宜昌,夷陵区,111.340222,30.7856
宜昌,点军区,111.275908,30.695471
宜昌,白龙岗,111.311386,30.70354
宝鸡,三迪小学,107.251413,34.366934
宝鸡,三陆医院,107.20146,34.36998
宝鸡,庙沟村,107.123158,34.412497
宝鸡,技工学校,107.145482,34.354947
宝鸡,文理学院,107.166806,34.355982
宝鸡,监测站,107.154107,34.359663
宝鸡,竹园沟,107.108251,34.323212
宝鸡,陈仓环保局,107.399992,34.355908
宿迁,宿豫区环保局,118.337607,33.957869
宿迁,宿迁中学,118.301643,33.955481
宿迁,宿迁学院,118.302907,33.935761
宿迁,市监测站,118.277813,33.96412
富阳,富春二小,119.955985,30.052567
富阳,监测站,119.965558,30.056972
寿光,世纪学校,118.788615,36.86448
寿光,监测站,118.74793,36.874506
岳阳,云溪区,113.274576,29.479266
岳阳,南湖风景区,113.111282,29.360795
岳阳,君山区,113.00702,29.443086
岳阳,城陵矶,113.157827,29.43979
岳阳,开发区,113.154998,29.363353
岳阳,金凤水库,113.190589,29.35978
常州,城建学校,119.904741,31.788485
常州,安家,119.908878,31.921426
常州,市监测站,119.963147,31.762231
常州,常工院,119.970324,31.812489
常州,武进监测站,119.946823,31.706929
常州,潞城,120.047392,31.765743
常德,市二中,111.709626,28.973756
常德,市技术监督局,111.709063,29.029332
常德,市监测站,111.714421,29.037709
常德,白鹤山,111.771448,29.084956
常德,鼎城区环保局,111.687503,29.026529
常熟,兴福子站,120.740423,31.679292
常熟,海虞子站,120.810431,31.751731
常熟,菱塘子站,120.747458,31.658348
平度,1号,119.994603,36.782732
平度,2号,119.956595,36.796749
平顶山,平顶山工学院,113.193392,33.780264
平顶山,新华旅馆,113.327474,33.7259
平顶山,规划设计院,113.304133,33.741264
平顶山,高压开关厂,113.31068,33.725457
广州,九龙镇镇龙,113.579775,23.285174
广州,天河职幼,113.31665,23.134896
广州,市五中,113.274368,23.109788
广州,市八十六中,113.444853,23.10681
广州,市监测站,113.278597,23.110966
广州,帽峰山森林公园,113.469257,23.308276
广州,广东商学院,113.361241,23.095235
广州,广雅中学,113.247633,23.141767
广州,番禺中学,113.365682,22.912117
广州,花都师范,113.227349,23.394017
广州,麓湖,113.290041,23.155142
库尔勒,孔雀公园,86.156586,41.761432
库尔勒,棉纺厂,86.206234,41.72926
库尔勒,经济开发区,86.170923,41.761197
廊坊,北华航天学院,116.739507,39.534076
廊坊,开发区,116.7641936,39.57409176
廊坊,环境监测监理中心,116.7151272,39.55640104
廊坊,药材公司,116.7140681,39.53533353
延安,市监测站,109.517293,36.616263
延安,延大医附院,109.491195,36.604741
延安,枣园,109.427822,36.633043
延安,百米大道,109.514418,36.613359
开封,世纪星幼儿园,114.300725,34.801266
开封,妇幼保健院,114.357502,34.801814
开封,河大一附院,114.352921,34.806498
开封,肿瘤医院,114.3508,34.782538
张家口,世纪豪园,114.9033043,40.76626478
张家口,五金库,114.884152,40.762135
张家口,人民公园,114.8958519,40.83098513
张家口,北泵房,114.956304,40.927828
张家口,探机厂,114.8894659,40.7913336
张家港,城北小学,120.560156,31.885576
张家港,张家港市监测站,120.537567,31.870521
张家界,未央路,110.552025,29.355223
张家界,永定新区,110.5438,29.126029
张家界,电业局,110.480577,29.127528
张家界,袁家界,110.454306,29.353665
徐州,农科院,117.3059481,34.28271425
徐州,新城区,117.290967,34.21265827
徐州,桃园路,117.2570938,34.29585235
徐州,淮塔,117.207226,34.24320006
徐州,铜山兽医院,117.1989691,34.20509963
徐州,铜山区环保局,117.1775443,34.18514194
徐州,黄河新村,117.1793185,34.27528903
德州,儿童乐园,116.3388189,37.40870202
德州,监理站,116.384259,37.439094
德州,黑马集团,116.2859761,37.45545126
德阳,东山公园,104.4256251,31.14079971
德阳,市检察院,104.4129402,31.12133036
德阳,耐火材料厂,104.3659785,31.11488065
德阳,西小区,104.3921219,31.1349224
惠州,下埔横江三路子站,114.4170349,23.08710986
惠州,大亚湾管委会子站,114.543479,22.74440097
惠州,惠阳区承修路船湖子站,114.4758663,22.78875945
惠州,江北云山西路子站,114.4205989,23.11267216
惠州,河南岸金山湖子站,114.4421169,23.07244817
成都,三瓦窑,104.0834426,30.605819
成都,人民公园,117.1659993,37.31085881
成都,十里店,104.1943285,30.6777219
成都,梁家巷,104.2198673,30.89444953
成都,沙河铺,104.1262558,30.63248497
成都,灵岩寺,116.990164,36.36786986
成都,美国领事馆,104.073201,30.65902485
成都,草堂寺,104.029202,30.66722327
成都,金泉两河,103.9869816,30.71419487
扬州,城东财政所,119.477414,32.392919
扬州,市监测站,119.423177,32.38112727
扬州,第四医院,118.051723,40.861846
扬州,邗江监测站,119.4010283,32.38170891
承德,中国银行,117.9462307,40.9855138
承德,开发区,117.9617875,40.92838757
承德,文化中心,118.176283,40.77135901
承德,离宫,117.940068,41.00278794
承德,铁路,118.051723,40.861846
抚顺,东洲,124.0507951,41.87241597
抚顺,新华,123.9229519,41.88544786
抚顺,望花,123.7909935,41.85892204
抚顺,水库,124.0944132,41.89483258
抚顺,沈抚新城,123.7175831,41.8431877
抚顺,站前,123.9165002,41.86699658
拉萨,八廓街,91.13914225,29.65621036
拉萨,区监测站,91.11146456,29.67006716
拉萨,区辐射站,91.095666,29.651553
拉萨,市环保局,91.185092,29.657979
拉萨,拉萨火车站,91.0744268,29.63002443
拉萨,西藏大学,91.15452798,29.649457
招远,招远教育局,120.407585,37.370762
招远,招远环保局,120.410861,37.380326
揭阳,东湖公园,114.1554416,22.57113005
揭阳,中长,116.36902,23.574052
揭阳,仙滘,116.3394675,23.54606772
揭阳,渔湖初级中学,116.4296206,23.53124408
攀枝花,仁和,101.737869,26.50903834
攀枝花,弄弄坪,101.7001006,26.56866653
攀枝花,河门口,101.7241698,26.52800634
攀枝花,炳草岗,101.7274396,26.59249805
攀枝花,金江,101.8563914,26.54921369
文登,文登市丝绸公司,122.070089,37.202678
文登,文登市环保局,122.05155,37.20382
无锡,东亭,120.3654932,31.58973803
无锡,堰桥,120.2914539,31.69339805
